办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,FWT,kpi
24419330000,9.31,23.0,1.56,11.22,876.0,433.0,30.7,虎门办税服务厅,91.900000000000006
24419080000,28.72,28.0,2.05,22.14,925.0,434.0,33.9,厚街办税服务厅,89.700000000000003
24419300000,38.65,44.0,2.19,34.1,1184.0,802.0,38.9,东城办税服务厅,89.700000000000003
24419110000,17.93,24.0,1.78,11.63,952.0,402.0,27.7,长安办税服务厅,89.200000000000003
24419140000,22.29,25.0,1.8,17.14,723.0,240.0,42.7,大朗办税服务厅,88.5
24419170000,6.21,17.0,1.51,8.1,552.0,212.0,24.9,清溪办税服务厅,88.099999999999994
24419120000,20.14,32.0,1.69,16.58,796.0,332.0,29.9,寮步办税服务厅,87.599999999999994
24419050000,8.35,19.0,2.02,9.74,469.0,189.0,35.9,石碣办税服务厅,87.400000000000006
24419150000,18.86,20.0,2.05,15.95,535.0,178.0,45.1,黄江办税服务厅,87.400000000000006
24419190000,30.56,18.0,2.28,23.67,644.0,241.0,46.3,凤岗办税服务厅,87.0
24419060000,3.59,11.0,1.76,5.11,344.0,135.0,24.1,道滘办税服务厅,87.0
24419310000,31.24,23.0,1.85,23.7,785.0,375.0,32.7,莞城办税服务厅,86.700000000000003
24419280000,39.02,23.0,2.59,31.27,1201.0,742.0,30.5,南城办税服务厅,86.5
kpi划分,86.144166666666649,---,---,---,---,---,---,---
24419160000,40.93,18.0,1.58,30.47,580.0,165.0,47.6,樟木头办税服务厅,85.400000000000006
24419130000,37.58,22.0,1.82,29.3,590.0,254.0,40.4,大岭山办税服务厅,85.299999999999997
24419100000,23.01,16.0,2.35,19.85,354.0,115.0,45.4,松山湖办税服务厅,85.299999999999997
24419240000,12.78,14.0,2.02,11.54,307.0,93.0,25.5,东坑办税服务厅,84.599999999999994
24419230000,16.08,18.0,1.79,14.66,454.0,147.0,26.1,横沥办税服务厅,84.400000000000006
kpi划分,84.246250000000003,---,---,---,---,---,---,---
24419090000,34.87,14.0,1.85,29.4,467.0,137.0,46.8,沙田办税服务厅,84.099999999999994
24419220000,43.93,14.0,1.92,28.31,355.0,102.0,43.1,桥头办税服务厅,83.599999999999994
24419260000,46.34,23.0,1.76,23.16,377.0,92.0,34.5,石排办税服务厅,83.5
24419290000,36.51,16.0,1.83,28.61,655.0,295.0,31.8,万江办税服务厅,83.299999999999997
24419010000,22.04,17.0,2.51,19.25,289.0,122.0,41.7,中堂办税服务厅,83.200000000000003
kpi划分,83.018750000000011,---,---,---,---,---,---,---
24419270000,11.99,13.0,1.89,12.0,384.0,164.0,20.8,茶山办税服务厅,83.0
24419250000,29.21,15.0,2.63,17.59,271.0,82.0,34.8,企石办税服务厅,82.799999999999997
24419040000,18.12,9.0,2.04,13.76,235.0,83.0,25.8,高埗办税服务厅,82.200000000000003
24419200000,4.1,11.0,2.38,5.65,144.0,93.0,14.2,谢岗办税服务厅,82.200000000000003
24419030000,11.26,9.0,2.65,14.03,298.0,84.0,25.2,麻涌办税服务厅,82.099999999999994
24419210000,53.91,22.0,2.17,48.85,805.0,328.0,46.2,常平办税服务厅,81.700000000000003
24419180000,45.88,21.0,2.35,38.96,698.0,348.0,38.3,塘厦办税服务厅,81.700000000000003
24419320000,16.19,10.0,1.69,13.19,244.0,85.0,21.4,石龙办税服务厅,81.5
24419020000,5.54,5.0,2.04,7.57,172.0,44.0,13.3,望牛墩办税服务厅,80.700000000000003
24419070000,2.51,7.0,2.81,3.49,118.0,44.0,9.7,洪梅办税服务厅,77.799999999999997
