办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率,label,kpi
24419210000,53.99,18,2.31,45.87,559,271,37.6,10,17,0,0,1,93
24419300000,20.86,36,2.69,17.38,884,660,35.9,16,42,5,5,0,92.7
24419280000,33.53,16,2.79,23.43,863,469,25.7,22,50,0,0,0,92.2
24419160000,44.28,20,1.49,31.61,514,147,45.9,7,14,0,0,1,89.9
24419130000,41.04,25,1.87,26.69,507,272,39.3,9,16,0,0,1,89.7
24419180000,40.28,19,2.8,32.58,352,281,27.5,13,20,0,0,1,89.1
24419080000,11.36,19,2.5,10.58,665,306,38,14,40,0,0,0,87.6
24419150000,17.95,14,2.46,16.56,371,128,44.8,8,30,12,12,1,87.2
24419090000,21.28,10,2.02,18.1,324,97,43.8,6,11,0,0,1,86.7
24419190000,9.29,11,2.26,11.45,500,155,45.8,11,18,0,0,1,86.4
24419330000,2.82,17,1.3,6.94,729,326,29.3,10,19,0,0,1,86.4
24419110000,7.08,21,1.88,7.36,769,331,26.4,15,16,26,26,0,86.3
24419120000,5.31,24,2.18,7.87,529,271,29.8,10,26,0,0,1,86.1
24419290000,23.51,12,2.04,16.33,479,234,27.3,11,22,0,0,1,85.9
24419250000,20.26,11,2.83,14.09,209,56,37.4,4,13,0,0,1,85.8
24419310000,17.93,17,2.08,15.03,469,216,24.3,14,4,99,99,2,85.8
24419260000,27.12,16,1.68,15.13,295,69,29.9,5,11,0,0,1,85.1
24419010000,11.07,11,2.63,12.14,202,80,34.6,6,11,0,0,1,84.9
24419220000,18.19,10,1.8,13.95,265,76,38.1,4,8,8,8,1,84.5
24419140000,4.8,18,2.05,7.05,478,165,36.1,9,16,0,0,1,84.4
24419100000,6.1,13,2.62,7.82,209,78,35.6,6,8,81,81,2,84.1
24419040000,4.83,6,2.7,8.73,174,64,29.4,7,19,1,1,1,84
24419050000,2.95,15,2.14,5.89,380,136,32.3,9,16,0,0,1,83.4
24419230000,9.24,15,2,10.55,345,104,25.8,7,10,1,1,1,82.9
24419270000,7.5,9,2.15,8.18,270,110,18.5,6,130,0,0,1,82.4
24419320000,10.15,5,1.26,11.07,210,46,22.4,5,14,0,0,1,81.5
24419170000,2.98,12,1.67,5.66,362,156,18.9,10,14,0,0,1,81.3
24419030000,3.66,6,2.78,8.18,190,58,16.7,8,10,0,0,1,81.3
24419060000,0.41,8,2.1,1.62,225,99,17.7,8,28,46,46,2,79.8
24419200000,2.78,9,2.32,4.3,99,57,11.6,6,33,0,0,1,79.7
24419240000,1.95,7,2.04,3.56,155,49,13,6,13,0,0,1,79
24419020000,5.53,3,1.87,5.84,105,23,8.6,6,17,28,28,1,78.1
24419070000,1.59,4,3.31,1.83,66,26,7.2,6,8,1,1,1,77.8
