,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比
group1,,,,,,,
min,0,6,0.8,3.44,174,42,24.3
center,19.89696429,12.98214286,1.993214286,16.18946429,636.8571429,161.1428571,35.97678571
max,91.7,25,3.13,66.86,1481,326,57.7
total,56,,,,,,
group2,,,,,,,
min,0,0,0,0,0,1,0
center,7.634130435,2.673913043,1.082681159,7.826811594,104.3115942,17.0942029,3.247826087
max,51.85,9,25.82,40.28,2205,135,13.5
total,138,,,,,,
group3,,,,,,,
min,0,8,0.38,1.94,645,211,8.5
center,24.88206897,24.96551724,1.497586207,18.95206897,1390,464.7586207,22.64137931
max,76.48,59,3.38,45.04,4034,1222,40.2
total,29,,,,,,
group4,,,,,,,
min,66.48,0,0,13.63,0,1,0
center,101.938,8.4,1.177,73.367,253.7,68.9,5.26
max,133.33,36,7.89,305.88,998,387,21.2
total,10,,,,,,
gruop5,,,,,,,
min,0,1,0.35,0,45,2,4.5
center,7.641176471,11.37254902,1.485,9.127254902,465.2058824,121.4313725,16.8754902
max,38.96,30,6.75,51.14,1323,286,27.8
total,102,,,,,,
