BSFWT_DM,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,类编号
24419290000.0,12.0,2.04,16.33,479.0,234.0,27.3,2
24419240000.0,7.0,2.04,3.56,155.0,49.0,13.0,0
24419300000.0,36.0,2.69,17.38,884.0,660.0,35.9,1
24419010000.0,11.0,2.63,12.14,202.0,80.0,34.6,2
24419250000.0,11.0,2.83,14.09,209.0,56.0,37.4,2
24419190000.0,11.0,2.26,11.45,500.0,155.0,45.8,2
24419280000.0,16.0,2.79,23.43,863.0,469.0,25.7,1
24419080000.0,19.0,2.5,10.58,665.0,306.0,38.0,1
24419180000.0,19.0,2.8,32.58,352.0,281.0,27.5,3
24419130000.0,25.0,1.87,26.69,507.0,272.0,39.3,3
24419140000.0,18.0,2.05,7.05,478.0,165.0,36.1,2
24419120000.0,24.0,2.18,7.87,529.0,271.0,29.8,1
24419210000.0,18.0,2.31,45.87,559.0,271.0,37.6,3
24419020000.0,3.0,1.87,5.84,105.0,23.0,8.6,0
24419100000.0,13.0,2.62,7.82,209.0,78.0,35.6,2
24419220000.0,10.0,1.8,13.95,265.0,76.0,38.1,2
24419160000.0,20.0,1.49,31.61,514.0,147.0,45.9,3
24419230000.0,15.0,2.0,10.55,345.0,104.0,25.8,2
24419090000.0,10.0,2.02,18.1,324.0,97.0,43.8,2
24419070000.0,4.0,3.31,1.83,66.0,26.0,7.2,0
24419170000.0,12.0,1.67,5.66,362.0,156.0,18.9,0
24419260000.0,16.0,1.68,15.13,295.0,69.0,29.9,2
24419050000.0,15.0,2.14,5.89,380.0,136.0,32.3,2
24419320000.0,5.0,1.26,11.07,210.0,46.0,22.4,0
24419270000.0,9.0,2.15,8.18,270.0,110.0,18.5,0
24419310000.0,17.0,2.08,15.03,469.0,216.0,24.3,2
24419330000.0,17.0,1.3,6.94,729.0,326.0,29.3,1
24419200000.0,9.0,2.32,4.3,99.0,57.0,11.6,0
24419060000.0,8.0,2.1,1.62,225.0,99.0,17.7,0
24419110000.0,21.0,1.88,7.36,769.0,331.0,26.4,1
24419040000.0,6.0,2.7,8.73,174.0,64.0,29.4,2
24419030000.0,6.0,2.78,8.18,190.0,58.0,16.7,0
24419150000.0,14.0,2.46,16.56,371.0,128.0,44.8,2
