,SF,DS,XQ,FWT,BSFWT_DM,BSFWTMC,MU_ID,日平均开通窗口数,日平均票号量,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,不满意数,物理窗口数,前台人数,评价率,满意率,占空比,SJSWJG_DM,XSXH,DZ
1,广东省地税,东莞市,万江办税服务厅,万江办税服务厅,24419290000,万江办税服务厅,5010044,19,234,12,2.04,16.33,479,234,0,19,22,0,0,27.3,24419000000,6326,东莞市万江区牌楼基贯诚大楼
2,广东省地税,佛山市,三水区,三水区乐平办税服务厅,24406070500,三水区乐平办税服务厅,10364,13,82,6,2.77,5.29,417,77,0,15,28,72,72,34.9,24406070000,1880,佛山市三水区乐平镇
3,广东省地税,佛山市,三水区,三水区大塘办税服务厅,24406070700,三水区大塘办税服务厅,10367,13,50,4,2.86,2.62,256,47,0,14,49,76,76,14.5,24406070000,1882,佛山市三水区大塘镇
4,广东省地税,佛山市,三水区,三水区白坭办税服务厅,24406070400,三水区白坭办税服务厅,4010243,10,33,3,1.92,0.55,127,30,0,10,19,93,93,6.9,24406070000,1879,佛山市三水区白坭镇
5,广东省地税,佛山市,三水区,西南分局办税厅,24406070100,三水西南四楼办税服务厅,101370,31,289,9,1.9,8.4,1023,137,0,31,35,76,76,28.1,24406070000,1876,佛山市三水区西南镇德兴路
6,广东省地税,佛山市,三水区,西南分局办税厅,24406070100,三水西南四楼社保办税服务厅,101372,11,101,9,1.98,11.21,356,99,0,11,19,68,68,20.5,24406070000,1876,佛山市三水区西南镇德兴路
7,广东省地税,中山市,东区,中山市东区办税服务厅,24420360003,中山市东区办税服务厅,10221,19,144,8,2.95,10.41,502,133,0,19,39,0,0,20.5,24420360000,5872,中山市兴政路1号中环广场二座
8,广东省地税,中山市,东升,中山市东升办税服务厅,24420100005,中山市东升办税服务厅,10240,10,177,18,1.49,6.9,454,125,0,10,11,0,0,21,24420100000,5659,中山市东升镇兆益路
9,广东省地税,东莞市,东坑办税服务厅,东坑办税服务厅,24419240000,东坑办税服务厅,5010050,7,50,7,2.04,3.56,155,49,0,10,13,0,0,13,24419000000,6237,东莞市东坑镇乐然街60号
10,广东省地税,东莞市,东城办税服务厅,东城办税服务厅,24419300000,东城办税服务厅,5010042,18,651,36,2.69,17.38,884,660,0,18,42,5,5,35.9,24419000000,6328,东莞市东城大道东城经济服务大楼一楼
11,广东省地税,河源市,东源县,东源城区地税分局,24416251200,东源城区地税分局,11010746,14,89,6,3.71,9.56,88,71,0,14,11,70,70,25.1,24416250000,5102,广东省河源市东源县县城行政大道
12,广东省地税,河源市,东源县,东源灯塔税务分局,24416250200,东源灯塔税务分局,11010727,4,18,5,0.51,15.61,16,18,0,4,4,74,74,2.1,24416250000,5074,东源县灯塔镇
13,广东省地税,河源市,东源县,东源船塘税务分局,24416250300,东源船塘税务分局,11010728,4,8,2,2.73,5.01,7,6,0,4,4,41,41,2.3,24416250000,5078,东源县船塘镇
14,广东省地税,河源市,东源县,东源蓝口税务分局,24416250500,东源蓝口税务分局,11010726,4,5,1,1.79,14.73,7,5,0,4,4,30,30,3.2,24416250000,5084,东源县蓝口镇
15,广东省地税,东莞市,中堂办税服务厅,中堂办税服务厅,24419010000,中堂办税服务厅,5010002,7,79,11,2.63,12.14,202,80,0,9,11,0,0,34.6,24419000000,6114,东莞市中堂镇斗朗工业大道
16,广东省地税,梅州市,丰顺县,丰顺县城区办税服务厅,24414239000,丰顺县城区办税服务厅,4110041,9,280,31,0.79,14.13,768,277,0,9,26,6,6,21.9,24414230000,4351,丰顺县汤坑镇金盘开发区中兴四路
17,广东省地税,梅州市,丰顺县,丰顺县汤西办税服务厅,24414231200,丰顺县汤西办税服务厅,4110043,2,1,1,0.48,0,27,2,0,2,7,100,100,2.2,24414230000,4331,丰顺县汤西镇颖川路
18,广东省地税,梅州市,丰顺县,丰顺县潭江办税服务厅,24414231600,丰顺县潭江办税服务厅,4110046,3,1,0,0.32,0,45,10,0,3,8,2,2,2.9,24414230000,4347,丰顺县潭江镇桥头街119号
19,广东省地税,顺德区,乐从,乐从办税服务厅,24406060700,乐从办税服务厅,6010015,12,158,13,1.91,8.59,697,151,0,14,40,22,22,42.3,24406060000,1726,顺德乐从镇河滨北路169号
20,广东省地税,韶关市,乐昌市,乐昌市坪石办税服务厅,24402250300,乐昌市坪石办税服务厅,8010303,7,9,1,0.21,10.95,236,9,0,7,9,3,3,6,24402250000,1163,韶关市
21,广东省地税,韶关市,乳源县,乳源县乳城办税服务厅,24402320200,乳源县乳城办税服务厅,10345,11,46,4,0.37,5.4,488,45,0,11,24,3,3,3.3,24402320000,1273,乳源县环城西路
22,广东省地税,云浮市,云城区,云城区南盛办税服务厅,24453020500,云城区南盛办税服务厅,10550,17,187,11,1.1,7.23,842,186,0,17,18,3,3,21.2,24453020000,5592,云浮市云城区南盛镇
23,广东省地税,梅州市,五华县,五华县华城办税服务厅,24414240100,五华县华城办税服务厅,4110050,4,1,0,0,0,2205,4,0,4,9,75,75,0,24414240000,4106,五华县高桂路
24,广东省地税,梅州市,五华县,五华县城区办税服务厅,24414249000,五华县城区办税服务厅,4110047,10,470,47,0.99,43.07,1093,387,0,10,17,1,1,27.7,24414240000,3791,五华县城镇街62号
25,广东省地税,梅州市,五华县,五华县安流办税服务厅,24414240400,五华县安流办税服务厅,4110051,2,1,1,0.56,0,69,17,0,2,5,1,1,6.3,24414240000,4115,五华县安流镇司前街42号
26,广东省地税,梅州市,五华县,五华县横陂办税服务厅,24414240300,五华县横陂办税服务厅,4110049,2,1,1,0.45,0,39,3,0,2,4,55,55,2.1,24414240000,4114,五华县横陂镇陂中路005号
27,广东省地税,梅州市,五华县,五华县河东办税服务厅,24414240200,五华县河东办税服务厅,4110048,4,1,0,0,0,122,3,0,4,7,40,40,0,24414240000,4110,五华县河东镇大新街
28,广东省地税,梅州市,五华县,五华县潭下办税服务厅,24414240800,五华县潭下办税服务厅,4110052,2,1,1,0.01,0,232,3,0,2,5,33,33,0.5,24414240000,3785,五华县双头镇工业大道50号
29,广东省地税,韶关市,仁化县,仁化县城区税务分局,24402240200,仁化县城区税务分局,10352,12,68,6,1.08,6.19,455,56,0,12,15,25,25,16.4,24402240000,1124,韶关市
30,广东省地税,广州市,从化区,吕田办税服务厅,24401840006,吕田办税服务厅,11010427,3,3,1,0.08,0.63,12,3,0,3,5,0,0,0.1,,,
31,广东省地税,广州市,从化区,太平办税服务厅,24401840002,太平办税服务厅,11010448,6,27,5,1.14,2.04,63,27,0,6,7,1,1,8.5,,,
32,广东省地税,广州市,从化区,温泉办税服务厅,24401840004,温泉办税服务厅,11010446,5,17,3,1.43,9.64,36,17,0,5,6,2,2,3.5,,,
33,广东省地税,广州市,从化区,良口办税服务厅,24401840005,良口办税服务厅,11010426,4,5,1,0.35,4.78,15,5,0,4,6,0,0,0.4,,,
34,广东省地税,广州市,从化区,街口办税服务厅,24401840100,街口办税服务厅,10408,20,177,9,1.74,2.48,397,178,0,20,32,2,2,18.6,24401840000,903,广州市从化区街口镇凤仪西一巷十栋
35,广东省地税,广州市,从化区,鳌头办税服务厅,24401840003,鳌头办税服务厅,11010447,5,19,4,1.13,2.38,42,18,0,5,5,1,1,5.2,,,
36,广东省地税,惠州市,仲恺区,仲恺区征收办税服务厅,24413931300,仲恺区征收办税服务厅,510041,12,216,18,1.71,6.87,484,164,0,12,39,0,0,18.4,24413930000,3495,
37,广东省地税,惠州市,仲恺区,仲恺区沥林税务所,24413020200,仲恺区沥林税务所,8010043,4,3,1,0,2.65,40,3,0,4,6,11,11,0,,,
38,广东省地税,惠州市,仲恺区,仲恺区陈江办税服务厅,24413930100,仲恺区陈江办税服务厅,510042,12,139,12,0.8,5.45,599,127,0,12,16,1,1,17.4,24413930000,3769,
39,广东省地税,东莞市,企石办税服务厅,企石办税服务厅,24419250000,企石办税服务厅,5010051,6,68,11,2.83,14.09,209,56,0,6,13,0,0,37.4,24419000000,6318,东莞市企石镇振兴路（公安分局前500米）
40,广东省地税,顺德区,伦教,伦教办税服务厅,24406060400,伦教办税服务厅,6010039,12,72,6,2.37,10.21,289,73,0,14,27,3,3,41.5,24406060000,1723,顺德伦教镇新丰路38号
41,广东省地税,清远市,佛冈县,佛冈县城区办税服务厅,24418210100,佛冈县城区办税服务厅,4210231,9,85,9,2.87,28.66,205,79,0,9,22,95,95,30.7,24418210000,5306,佛冈县环城东路65号
42,广东省地税,珠海市,保税区,珠海市保税区办税服务厅,24404960700,珠海市保税区办税服务厅,10272,10,82,8,1.14,4.06,308,82,0,10,20,38,38,7.6,24404960000,1,珠海市湾仔南湾南路5002号鸿景花园8栋首层
43,广东省地税,茂名市,信宜市,信宜市城区办税服务厅,24409215100,信宜市城区办税服务厅,5010176,22,257,12,0.64,10.35,1246,250,0,22,32,98,98,23,24409210000,2950,
44,广东省地税,梅州市,兴宁市,兴宁市坭陂办税服务厅,24414810600,兴宁市坭陂办税服务厅,4110025,2,1,1,0.43,0,172,41,0,2,9,0,0,16.2,24414810000,3885,兴宁市坭陂镇宫前路44号
45,广东省地税,梅州市,兴宁市,兴宁市城区办税服务厅,24414819000,兴宁市城区办税服务厅,4110021,16,393,25,0.46,83.65,998,387,0,16,31,0,0,8.6,24414810000,4179,兴宁市新城镇高华路
46,广东省地税,梅州市,兴宁市,兴宁市黄陂办税服务厅,24414810300,兴宁市黄陂办税服务厅,4110023,2,1,1,0,0,146,1,0,2,5,100,100,0,24414810000,3868,兴宁市黄陂镇石新街
47,广东省地税,梅州市,兴宁市,兴宁市龙田办税服务厅,24414810400,兴宁市龙田办税服务厅,4110024,2,1,1,0.34,0,205,7,0,2,4,1,1,9.1,24414810000,3871,兴宁市龙田镇炭子坪
48,广东省地税,东莞市,凤岗办税服务厅,凤岗办税服务厅,24419190000,凤岗办税服务厅,5010020,14,158,11,2.26,11.45,500,155,0,14,18,0,0,45.8,24419000000,6227,东莞市凤岗镇商业街政通路
49,广东省地税,顺德区,勒流,勒流办税服务厅,24406060800,勒流办税服务厅,6010012,7,104,15,2.14,6.2,313,103,0,13,24,2,2,41.1,24406060000,1727,顺德勒流银城路19号
50,广东省地税,茂名市,化州市,化州市办税服务厅,24409242500,化州市办税服务厅,5010177,14,115,8,1.09,6.79,610,114,0,14,33,88,88,24.7,24409240000,3068,化州
51,广东省地税,顺德区,北窖,北窖办税服务厅,24406060500,北窖办税服务厅,6010027,10,141,14,3.13,12.46,416,142,0,12,24,50,50,39.4,24406060000,1724,顺德北滘镇蓬莱路10号
52,广东省地税,东莞市,南城办税服务厅,南城办税服务厅,24419280000,南城办税服务厅,5010043,29,476,16,2.79,23.43,863,469,0,34,50,0,0,25.7,24419000000,6324,东莞市南城区银丰路4号
53,广东省地税,广州市,南沙开发区,广州南沙东涌办税服务厅,24401790600,广州南沙东涌办税服务厅,11010186,9,56,6,1.82,2.77,181,53,0,9,19,0,0,12.6,24401790000,1039,东涌镇
54,广东省地税,广州市,南沙开发区,广州南沙大岗办税服务厅,24401790700,广州南沙大岗办税服务厅,10467,13,99,8,2.43,5.56,323,97,0,13,26,0,0,32.5,24401790000,1046,大岗镇
55,广东省地税,广州市,南沙开发区,广州南沙第一三分局办税服务厅,24401790100,广州南沙第一三分局办税服务厅,10463,21,303,14,2.17,30.33,752,302,0,21,52,0,0,24.8,24401790000,998,广州市南沙南沙区海滨路171号
56,广东省地税,广州市,南沙开发区,广州南沙第二分局办税服务厅,24401790200,广州南沙第二分局办税服务厅,11010185,15,31,2,2.47,2.62,71,32,0,15,21,0,0,8,24401790000,1007,广州市南沙南沙区万顷沙镇新兴路76号
57,广东省地税,广州市,南沙开发区,广州南沙第四分局办税服务厅,24401790400,广州南沙第四分局办税服务厅,11010184,7,20,3,2.27,2.07,61,20,0,7,10,0,0,7.3,24401790000,1025,广州市南沙区龙穴街育才路1号
58,广东省地税,佛山市,南海区,南海区九江办税服务厅,24406051400,南海区九江办税服务厅,10333,14,92,7,2.18,12.05,412,70,0,14,38,99,99,30.3,24406050000,1845,南海市九江镇儒林新村57号
59,广东省地税,佛山市,南海区,南海区大沥办税服务厅,24406050300,南海区大沥办税服务厅,10351,17,184,11,2.13,15.24,883,171,0,17,101,98,98,41.5,24406050000,1830,南海市大沥区金融商贸区
60,广东省地税,佛山市,南海区,南海区桂城办税服务厅,24406050500,南海区桂城办税服务厅,10328,12,202,17,0.72,4.35,279,64,0,18,115,79,79,17.1,24406050000,1833,南海市桂城区海四路
61,广东省地税,佛山市,南海区,南海区狮山办税服务厅,24406051100,南海区狮山办税服务厅,10343,22,226,10,1.45,15.73,1322,164,0,22,75,92,92,35,24406050000,1839,南海市小塘镇二环路
62,广东省地税,佛山市,南海区,南海区罗村办税服务厅,24406051000,南海区罗村办税服务厅,10331,12,146,12,2.11,37.32,729,88,0,12,47,98,98,49.4,24406050000,1838,南海市罗村镇罗湖一路39号
63,广东省地税,佛山市,南海区,南海区西樵办税服务厅,24406051600,南海区西樵办税服务厅,10336,17,180,11,1.94,11.84,694,158,0,17,46,98,98,31.6,24406050000,1847,南海市西樵官山登山大道
64,广东省地税,佛山市,南海区,南海区里水办税服务厅,24406050900,南海区里水办税服务厅,10347,18,187,10,1.7,12.73,910,147,0,18,63,89,89,39.9,24406050000,1837,南海市里水镇邓岗路段
