,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
1,24419290000,23.51,12,2.04,16.33,479,234,27.3,11,22,0,0
2,24406070500,1.76,6,2.77,5.29,417,77,34.9,10,28,72,72
3,24406070700,1.16,4,2.86,2.62,256,47,14.5,10,49,76,76
4,24406070400,0,3,1.92,0.55,127,30,6.9,7,19,93,93
5,24406070100,18.79,9,1.9,8.4,1023,137,28.1,23,35,76,76
6,24406070100,12.41,9,1.98,11.21,356,99,20.5,8,19,68,68
7,24420360003,7.24,8,2.95,10.41,502,133,20.5,13,39,0,0
8,24420100005,4.6,18,1.49,6.9,454,125,21,7,11,0,0
9,24419240000,1.95,7,2.04,3.56,155,49,13,6,13,0,0
10,24419300000,20.86,36,2.69,17.38,884,660,35.9,16,42,5,5
11,24416251200,6.62,6,3.71,9.56,88,71,25.1,4,11,70,70
12,24416250200,20,5,0.51,15.61,16,18,2.1,2,4,74,74
13,24416250300,3.13,2,2.73,5.01,7,6,2.3,3,4,41,41
14,24416250500,19.57,1,1.79,14.73,7,5,3.2,3,4,30,30
15,24419010000,11.07,11,2.63,12.14,202,80,34.6,6,11,0,0
16,24414239000,12.74,31,0.79,14.13,768,277,21.9,5,26,6,6
17,24414231200,0,1,0.48,0,27,2,2.2,1,7,100,100
18,24414231600,0,0,0.32,0,45,10,2.9,1,8,2,2
19,24406060700,3.7,13,1.91,8.59,697,151,42.3,8,40,22,22
20,24402250300,10.99,1,0.21,10.95,236,9,6,3,9,3,3
21,24402320200,2.55,4,0.37,5.4,488,45,3.3,8,24,3,3
22,24453020500,3.11,11,1.1,7.23,842,186,21.2,13,18,3,3
23,24414240100,0,0,0,0,2205,4,0,2,9,75,75
24,24414249000,76.48,47,0.99,43.07,1093,387,27.7,9,17,1,1
25,24414240400,0,1,0.56,0,69,17,6.3,1,5,1,1
26,24414240300,0,1,0.45,0,39,3,2.1,2,4,55,55
27,24414240200,0,0,0,0,122,3,0,1,7,40,40
28,24414240800,0,1,0.01,0,232,3,0.5,1,5,33,33
29,24402240200,3.84,6,1.08,6.19,455,56,16.4,10,15,25,25
30,24401840006,0,1,0.08,0.63,12,3,0.1,2,5,0,0
31,24401840002,0.51,5,1.14,2.04,63,27,8.5,3,7,1,1
32,24401840004,5.09,3,1.43,9.64,36,17,3.5,3,6,2,2
33,24401840005,0.94,1,0.35,4.78,15,5,0.4,3,6,0,0
34,24401840100,0.31,9,1.74,2.48,397,178,18.6,13,32,2,2
35,24401840003,2.34,4,1.13,2.38,42,18,5.2,3,5,1,1
36,24413931300,3.69,18,1.71,6.87,484,164,18.4,9,39,0,0
37,24413020200,0,1,0,2.65,40,3,0,1,6,11,11
38,24413930100,2.08,12,0.8,5.45,599,127,17.4,7,16,1,1
39,24419250000,20.26,11,2.83,14.09,209,56,37.4,4,13,0,0
40,24406060400,6.27,6,2.37,10.21,289,73,41.5,5,27,3,3
41,24418210100,43.04,9,2.87,28.66,205,79,30.7,7,22,95,95
42,24404960700,0.53,8,1.14,4.06,308,82,7.6,8,20,38,38
43,24409215100,5.55,12,0.64,10.35,1246,250,23,9,32,98,98
44,24414810600,0,1,0.43,0,172,41,16.2,1,9,0,0
45,24414819000,83.1,25,0.46,83.65,998,387,8.6,9,31,0,0
46,24414810300,0,1,0,0,146,1,0,1,5,100,100
47,24414810400,0,1,0.34,0,205,7,9.1,1,4,1,1
48,24419190000,9.29,11,2.26,11.45,500,155,45.8,11,18,0,0
49,24406060800,1.31,15,2.14,6.2,313,103,41.1,6,24,2,2
50,24409242500,0.8,8,1.09,6.79,610,114,24.7,11,33,88,88
51,24406060500,13.19,14,3.13,12.46,416,142,39.4,10,24,50,50
52,24419280000,33.53,16,2.79,23.43,863,469,25.7,22,50,0,0
53,24401790600,0.09,6,1.82,2.77,181,53,12.6,5,19,0,0
54,24401790700,4.03,8,2.43,5.56,323,97,32.5,8,26,0,0
55,24401790100,41.41,14,2.17,30.33,752,302,24.8,18,52,0,0
56,24401790200,0.86,2,2.47,2.62,71,32,8,5,21,0,0
57,24401790400,0.46,3,2.27,2.07,61,20,7.3,5,10,0,0
58,24406051400,13.65,7,2.18,12.05,412,70,30.3,8,38,99,99
59,24406050300,16.48,11,2.13,15.24,883,171,41.5,11,101,98,98
60,24406050500,2.47,17,0.72,4.35,279,64,17.1,3,115,79,79
61,24406051100,22.58,10,1.45,15.73,1322,164,35,14,75,92,92
62,24406051000,63.92,12,2.11,37.32,729,88,49.4,8,47,98,98
63,24406051600,9.97,11,1.94,11.84,694,158,31.6,11,46,98,98
64,24406050900,17.9,10,1.7,12.73,910,147,39.9,11,63,89,89
65,24402230200,11.04,2,0.5,16.9,203,30,4.4,6,13,96,96
66,24413221100,0,0,0,2.7,4,1,0,4,8,100,100
67,24413220900,21.76,2,0.82,29.55,101,19,6.7,4,21,0,0
68,24413220600,0,2,0.02,6.68,48,8,0,4,10,0,0
69,24413220300,9.28,9,0.55,11.32,261,47,6.2,5,10,13,13
70,24413220101,109.64,3,0.08,21,55,7,0.2,2,19,30,30
71,24413220102,40.1,29,0.91,20.92,646,241,14.1,11,29,0,0
72,24413221500,111.64,2,0.51,13.63,149,17,2.6,6,12,0,0
73,24419080000,11.36,19,2.5,10.58,665,306,38,14,40,0,0
74,24420020006,22.81,19,1.28,16.98,690,161,19.8,10,15,0,0
75,24407818100,16.3,19,0.82,11.54,1250,195,18.6,13,41,72,72
76,24416240400,18.75,2,25.82,13.96,0,3,0.2,2,3,63,63
77,24416240100,5.41,6,10.74,7.75,23,43,10.8,7,9,39,39
78,24416240600,133.33,2,0,71.13,0,3,0,3,3,100,100
79,24412840500,0,1,0.05,11.38,60,3,0.2,2,6,18,18
80,24412840100,8.43,12,1.08,8.11,1481,272,38.3,12,35,53,53
81,24412840200,7.77,1,0.08,6.65,111,6,0.5,3,8,26,26
82,24412840400,33.33,1,4.24,20.57,45,2,23.5,2,6,0,0
83,24406061100,2.4,10,1.29,8.17,259,66,16.3,4,15,18,18
84,24420240004,28.74,34,1.53,16.91,709,236,22.4,10,13,0,0
85,24420380003,6.82,15,1.92,9.99,871,240,22.1,16,26,0,0
86,24419180000,40.28,19,2.8,32.58,352,281,27.5,13,20,0,0
87,24401830300,1.98,3,1.79,3.52,53,29,8.7,2,7,0,0
88,24401830600,0.7,16,1.62,2.82,142,97,16.2,5,9,0,0
89,24401830900,0.23,3,1.62,3.61,76,20,13.5,3,9,0,0
90,24413010100,11.6,24,0.49,10.61,1235,339,10.1,13,28,0,0
91,24413010200,8.65,7,1.21,9.49,174,29,12.7,4,10,98,98
92,24401000023,6.21,14,2.37,8.21,100,66,10.4,5,7,0,0
93,24406063000,0,0,0.19,0,58,5,1.1,2,8,6,6
94,24414229000,38.05,44,0.52,20.65,1476,383,21.9,6,24,31,31
95,24414220400,0,1,0,0,22,1,0,1,7,0,0
96,24414220200,0,1,0.3,0,66,9,3.8,1,6,96,96
97,24414220500,0,1,0.19,0,162,19,7.8,1,7,6,6
98,24414220300,0,0,0.12,0,87,6,1.2,2,9,76,76
99,24419130000,41.04,25,1.87,26.69,507,272,39.3,9,16,0,0
100,24419140000,4.8,18,2.05,7.05,478,165,36.1,9,16,0,0
101,24406060200,9.63,10,2.07,13.39,923,220,32.5,13,53,10,10
